Designator,Mid X,Mid Y,Rotation,Layer
C1,28.15,-5.05,270.0,top
C10,17.6,-16.0,270.0,top
C11,19.35,-16.225,270.0,top
C12,29.4,-16.225,90.0,top
C2,28.15,-1.4,270.0,top
C3,21.4,-10.55,180.0,top
C4,21.4,-9.0,180.0,top
C5,21.4,-7.45,0.0,top
C6,21.4,-5.9,0.0,top
C7,7.45,-13.05,180.0,top
C8,8.9,-0.7,90.0,top
C9,15.824916,-16.193068,270.0,top
D1,16.85,-0.7,90.0,top
D2,13.65,-0.7,90.0,top
D3,10.45,-0.7,90.0,top
J1,2.06,-7.8,270.0,top
J2,37.35,-8.27,90.0,top
J3,1.289999,-15.525,270.0,top
J4,-0.03,-0.2,90.0,top
R1,9.1,-16.2,90.0,top
R10,12.1,-0.7,270.0,top
R11,4.3,-0.6,90.0,top
R2,10.7,-16.2,270.0,top
R4,12.3,-16.2,90.0,top
R5,5.8,-0.6,270.0,top
R6,30.9,-16.2,90.0,top
R8,18.45,-0.7,270.0,top
R9,15.25,-0.7,270.0,top
U1,23.212499,-2.0625,0.0,top
U2,13.85,-8.2,90.0,top
U3,24.3,-14.8,270.0,top
Y1,25.05,-8.25,90.0,top
